X,Y
62.04,15.38
62.03,15.3
62.02,15.23
62.02,15.15
62.01,15.08
62.0,15.0
61.99,14.93
61.99,14.85
61.98,14.78
61.97,14.7
61.96,14.63
61.96,14.55
61.95,14.48
61.94,14.4
61.93,14.33
61.93,14.25
61.92,14.18
61.91,14.1
61.9,14.03
61.9,13.95
61.89,13.88
61.88,13.8
61.87,13.73
61.87,13.65
61.86,13.58
61.85,13.5
61.84,13.43
61.84,13.35
61.83,13.28
61.82,13.2
61.81,13.13
61.81,13.05
61.8,12.98
61.79,12.9
61.78,12.83
61.78,12.75
61.77,12.68
61.76,12.6
61.75,12.53
61.75,12.45
61.74,12.38
61.73,12.3
61.72,12.23
61.72,12.15
61.71,12.08
61.7,12.0
61.69,11.93
61.69,11.85
61.68,11.78
61.67,11.7
61.66,11.63
61.66,11.55
61.65,11.48
61.64,11.4
61.63,11.33
61.63,11.25
61.62,11.18
61.61,11.1
61.6,11.03
61.6,10.95
61.59,10.88
61.58,10.8
61.57,10.73
61.57,10.65
61.56,10.58
61.55,10.5
61.54,10.43
61.54,10.35
61.53,10.28
61.52,10.2
61.51,10.13
61.51,10.05
61.5,9.97
61.49,9.9
61.49,9.82
61.49,9.75
61.48,9.67
61.48,9.6
61.48,9.52
61.47,9.45
61.47,9.37
61.46,9.3
61.46,9.22
61.46,9.15
61.45,9.07
61.45,9.0
61.45,8.92
61.44,8.85
61.44,8.77
61.43,8.7
61.43,8.62
61.43,8.55
61.42,8.47
61.42,8.4
61.42,8.32
61.41,8.25
61.41,8.17
61.4,8.1
61.4,8.02
61.4,7.95
61.39,7.87
61.39,7.8
61.39,7.72
61.38,7.65
61.38,7.57
61.37,7.5
61.37,7.42
61.37,7.35
61.36,7.27
61.36,7.2
61.36,7.12
61.35,7.05
61.35,6.97
61.34,6.9
61.34,6.82
61.34,6.75
61.33,6.67
61.33,6.6
61.33,6.52
61.32,6.45
61.32,6.37
61.31,6.3
61.31,6.22
61.31,6.15
61.3,6.07
61.3,6.0
61.3,5.92
61.29,5.85
61.29,5.77
61.28,5.7
61.28,5.62
61.28,5.55
61.27,5.47
61.27,5.4
61.27,5.32
61.26,5.25
61.26,5.17
61.25,5.1
61.25,5.02
61.25,4.95
61.24,4.87
61.24,4.8
61.24,4.72
61.23,4.65
61.23,4.57
61.22,4.5
61.22,4.42
61.22,4.35
61.21,4.27
61.21,4.2
61.21,4.12
61.2,4.05
61.2,3.97
61.19,3.9
